ID,URL,Title,Difficulty,Acceptance %,Frequency %,Frequency,Weight,PriorityScore,Completed
230,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,76.5%,37.5%,37.5,2,75.0,No
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,64.0%,37.5%,37.5,2,75.0,No
3651,https://leetcode.com/problems/minimum-cost-path-with-teleportations,Minimum Cost Path with Teleportations,Hard,45.8%,25.0%,25.0,3,75.0,No
80,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,Medium,64.3%,37.5%,37.5,2,75.0,No
312,https://leetcode.com/problems/burst-balloons,Burst Balloons,Hard,62.9%,25.0%,25.0,3,75.0,No
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.0%,37.5%,37.5,2,75.0,No
799,https://leetcode.com/problems/champagne-tower,Champagne Tower,Medium,64.0%,37.5%,37.5,2,75.0,No
3495,https://leetcode.com/problems/minimum-operations-to-make-array-elements-zero,Minimum Operations to Make Array Elements Zero,Hard,60.4%,25.0%,25.0,3,75.0,No
304,https://leetcode.com/problems/range-sum-query-2d-immutable,Range Sum Query 2D - Immutable,Medium,57.8%,37.5%,37.5,2,75.0,No
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,64.0%,37.5%,37.5,2,75.0,No
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,53.8%,37.5%,37.5,2,75.0,No
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.0%,37.5%,37.5,2,75.0,No
1283,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Find the Smallest Divisor Given a Threshold,Medium,65.4%,37.5%,37.5,2,75.0,No
987,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Vertical Order Traversal of a Binary Tree,Hard,53.2%,25.0%,25.0,3,75.0,No
407,https://leetcode.com/problems/trapping-rain-water-ii,Trapping Rain Water II,Hard,64.0%,25.0%,25.0,3,75.0,No
3625,https://leetcode.com/problems/count-number-of-trapezoids-ii,Count Number of Trapezoids II,Hard,40.0%,25.0%,25.0,3,75.0,No
329,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,Hard,56.3%,25.0%,25.0,3,75.0,No
